,iso_code,country,year,GDLcode,continent2,level,region,continent,CountryName_std,shdi,healthindex,incindex,edindex,esch,msch,lifexp,gnic,lgnic,pop,POLY_IDcountry,iso3,status,CountryName,SubContinent,Continent,Continent_std,surfaceTemperature,soilMoisture10cm,soilMoisture40cm
16,KHM,Cambodia,1990,KHMr106,Asia,Subnat,Kandal,Asia/Pacific,Cambodia,0.37099999,0.537,0.34,0.28,6.8660002,2.6760001,54.935001,951.58502,6.8579998,875.659,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.2984613842683648,0.30519963009853873
17,KHM,Cambodia,1990,KHMr116,Asia,Subnat,Mondol Kiri-Rotanak Kiri,Asia/Pacific,Cambodia,0.26300001,0.41299999,0.324,0.13600001,3.494,1.168,46.865002,854.37701,6.75,100.975,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3334407016054354,0.34255512916397857
18,KHM,Cambodia,1991,KHMr109,Asia,Subnat,Prey Veaeng,Asia/Pacific,Cambodia,0.352,0.48199999,0.34,0.266,6.7839999,2.313,51.327,947.65302,6.8540001,768.411,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.28842594372955244,0.30423752138983207
19,KHM,Cambodia,1991,KHMr104,Asia,Subnat,Kampong Spueu,Asia/Pacific,Cambodia,0.35100001,0.574,0.31299999,0.23999999,6.2059999,2.0209999,57.285,796.63898,6.6799998,498.092,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3117008770099953,0.31444722888029425
20,KHM,Cambodia,1991,KHMr115,Asia,Subnat,Preah Vihear-Stueng Traeng-Kracheh,Asia/Pacific,Cambodia,0.34900001,0.52499998,0.331,0.24600001,5.8800001,2.471,54.109001,895.211,6.7969999,368.971,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3277792819438102,0.34730943856879665
21,KHM,Cambodia,1991,KHMr116,Asia,Subnat,Mondol Kiri-Rotanak Kiri,Asia/Pacific,Cambodia,0.266,0.417,0.329,0.13699999,3.546,1.168,47.126999,881.66901,6.7820001,104.505,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3333270614284275,0.3536295954070916
22,KHM,Cambodia,1991,KHMr113,Asia,Subnat,Bat Dambang-Krong Pailin,Asia/Pacific,Cambodia,0.38,0.514,0.361,0.29499999,6.9439998,3.0710001,53.432999,1094.4659,6.9980001,649.972,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.312582265037389,0.3170382528675967
23,KHM,Cambodia,1991,KHMr101,Asia,Subnat,Banteay Mean Chey,Asia/Pacific,Cambodia,0.35699999,0.54299998,0.331,0.25299999,6.467,2.211,55.292,897.16302,6.7989998,431.674,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.28550533905666947,0.29068273684455487
24,KHM,Cambodia,1991,KHMr105,Asia,Subnat,Kampong Thum,Asia/Pacific,Cambodia,0.35299999,0.55800003,0.31999999,0.24699999,6.2150002,2.2420001,56.240002,829.77502,6.7210002,482.486,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3068484056085427,0.3116849895019576
25,KHM,Cambodia,1991,KHMr102,Asia,Subnat,Kampong Cham (incl Tboung Khmum),Asia/Pacific,Cambodia,0.35699999,0.50400001,0.34400001,0.26100001,6.7030001,2.25,52.784,977.29303,6.8850002,1216.527,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.30143112070637806,0.3055256433299374
